hotel_name;address;detail_url;show_rooms_url;min_price;rating;rating_category;reviews_count
Evropa Hotel;Ulitsa Baikalskaya, 69, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid7828771/evropa_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid7828771/evropa_hotel/;from ₽ 6,589 per night;9.1;Fantastic;175 reviews
Tajga Hotel;ulitsa Surikova, 4v, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid9767827/tajga_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid9767827/tajga_hotel/;from ₽ 6,373 per night;9.3;Fantastic;261 reviews
Baikal Terra Hotel;p. Khuzhir, ulitsa Voroshilova 36, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid7864494/mini_hotel_baikal/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid7864494/mini_hotel_baikal/;from ₽ 5,500 per night;8.7;Excellent;261 reviews
Nuur Hotel;ulitsa Karla Libknehta, d. 85, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid13174758/hotel_nuur_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid13174758/hotel_nuur_hotel/;from ₽ 7,387 per night;9.7;Fantastic;28 reviews
Angara Hotel;Ulitsa Cukhe-Batora, 7, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid7806182/angara_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid7806182/angara_hotel/;from ₽ 5,210 per night;8.5;Excellent;252 reviews
Irkutsk City Center;st. Chkalova, 15, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid13384478/irkutsk_city_center/;https://ostrovok.ru/hotel/russia/irkutsk/mid13384478/irkutsk_city_center/;from ₽ 10,497 per night;9.2;Fantastic;170 reviews
Viktoriya Hotel;Ulitsa Bogdana Khmelnitskogo, 1, Irkutsk, Russia, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8457230/victory_hotel_4/;https://ostrovok.ru/hotel/russia/irkutsk/mid8457230/victory_hotel_4/;from ₽ 4,976 per night;8.5;Excellent;456 reviews
Living Quarters v Irkutske;pereulok Alekseeva 2A, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid9993445/apartamentyi_v_irkutske/;https://ostrovok.ru/hotel/russia/irkutsk/mid9993445/apartamentyi_v_irkutske/;from ₽ 2,041 per night;9.3;Fantastic;113 reviews
Vozdushnaya Gavan Hotel;ulitsa Shiryamova 6, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8059310/vozdushnaya_gavan/;https://ostrovok.ru/hotel/russia/irkutsk/mid8059310/vozdushnaya_gavan/;from ₽ 5,531 per night;8.3;Excellent;239 reviews
Baikal Archi Apt Hotel;Irkutsk, Nekrasov street, 3a, 2, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid10211904/archi_apt_apartments/;https://ostrovok.ru/hotel/russia/irkutsk/mid10211904/archi_apt_apartments/;from ₽ 4,588 per night;9.3;Fantastic;162 reviews
Rooms;ulitsa Karla Marksa 32, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid9992652/rooms_apartments/;https://ostrovok.ru/hotel/russia/irkutsk/mid9992652/rooms_apartments/;from ₽ 3,186 per night;9.2;Fantastic;201 reviews
Star Hotel;ulitsa Yadrintseva 1ZH, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid7806155/best_eastern_hotel_zvezda/;https://ostrovok.ru/hotel/russia/irkutsk/mid7806155/best_eastern_hotel_zvezda/;from ₽ 7,100 per night;8.7;Excellent;324 reviews
Yakovlev` Hotel;ulitsa Timiryazeva, 9, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8742012/yakovlev_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid8742012/yakovlev_hotel/;from ₽ 4,121 per night;8.8;Excellent;66 reviews
Grand Bajkal Hotel;mkr. Krasnyj Klyuch, 91, Baikalsk;https://ostrovok.ru/hotel/russia/baikalsk/mid8481257/grand_baikal/;https://ostrovok.ru/hotel/russia/baikalsk/mid8481257/grand_baikal/;from ₽ 11,314 per night;8.5;Excellent;32 reviews
Mayak Hotel;Gorkogo ulica, 85 A, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid7816262/mayak_hotel_listvyanka/;https://ostrovok.ru/hotel/russia/listvyanka/mid7816262/mayak_hotel_listvyanka/;from ₽ 6,182 per night;7.9;Very good;593 reviews
AZIMUT Hotel Airport Irkutsk 4*;ul. Shiryamova, 10A, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid13317260/azimut_aeroport_irkutsk_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid13317260/azimut_aeroport_irkutsk_hotel/;from ₽ 9,370 per night;9.4;Fantastic;7 reviews
Pushkin Premium Hotel;ul. Suhe-Batora, 18, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid13310309/hotel_premium_hotel_pushkin/;https://ostrovok.ru/hotel/russia/irkutsk/mid13310309/hotel_premium_hotel_pushkin/;from ₽ 15,396 per night;9.9;Fantastic;6 reviews
Vera Baykal Hotel;Gorkogo street, 8, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid13308776/vera_baikal/;https://ostrovok.ru/hotel/russia/listvyanka/mid13308776/vera_baikal/;from ₽ 9,836 per night;8.5;Excellent;25 reviews
Fregat Hotel;Ulitsa Baikalskaya 236, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8010878/fregat_hotel_3/;https://ostrovok.ru/hotel/russia/irkutsk/mid8010878/fregat_hotel_3/;from ₽ 2,727 per night;9.1;Fantastic;250 reviews
Olkhon Story;ulitsa Narodnaya 19, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid8876953/olkhonstory_guest_house/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid8876953/olkhonstory_guest_house/;from ₽ 9,564 per night;9.6;Fantastic;28 reviews
Irkut Hotel;Proletarskaya ulitsa, 7, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8348721/otel_irkut/;https://ostrovok.ru/hotel/russia/irkutsk/mid8348721/otel_irkut/;from ₽ 3,810 per night;8.7;Excellent;262 reviews
7 Dorog Gostinitsa;Ulitsa Yadrintseva 88, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid7029576/7_dorog/;https://ostrovok.ru/hotel/russia/irkutsk/mid7029576/7_dorog/;from ₽ 5,790 per night;9.2;Fantastic;131 reviews
Hotel Baykal;Akademicheskaya ulitsa, 13, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid7965294/bajkal_hotel/;https://ostrovok.ru/hotel/russia/listvyanka/mid7965294/bajkal_hotel/;from ₽ 14,929 per night;9.4;Fantastic;41 reviews
Baikal Forest Hotel;ulitsa Sovetskaya, 58/1, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid9825031/baikal_forest_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid9825031/baikal_forest_hotel/;from ₽ 7,869 per night;8.2;Excellent;116 reviews
