hotel_name;address;url;show_rooms_url;price;rating;rating_category;reviews_count
Evropa Hotel;Ulitsa Baikalskaya, 69, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid7828771/evropa_hotel/;/hotel/russia/irkutsk/mid7828771/evropa_hotel/;from ₽6,694 per night;9.1;Fantastic;177 reviews
Nuur Hotel;ulitsa Karla Libknehta, d. 85, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid13174758/hotel_nuur_hotel/;/hotel/russia/irkutsk/mid13174758/hotel_nuur_hotel/;from ₽7,495 per night;9.7;Fantastic;28 reviews
Baikal Terra Hotel;p. Khuzhir, ulitsa Voroshilova 36, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid7864494/mini_hotel_baikal/;/hotel/russia/irkutsk_oblast_khuzhir/mid7864494/mini_hotel_baikal/;from ₽5,500 per night;8.7;Excellent;263 reviews
Tajga Hotel;ulitsa Surikova, 4v, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid9767827/tajga_hotel/;/hotel/russia/irkutsk/mid9767827/tajga_hotel/;from ₽6,359 per night;9.3;Fantastic;263 reviews
Irkutsk City Center;st. Chkalova, 15, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid13384478/irkutsk_city_center/;/hotel/russia/irkutsk/mid13384478/irkutsk_city_center/;from ₽9,993 per night;9.2;Fantastic;171 reviews
Angara Hotel;Ulitsa Cukhe-Batora, 7, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid7806182/angara_hotel/;/hotel/russia/irkutsk/mid7806182/angara_hotel/;from ₽5,400 per night;8.5;Excellent;252 reviews
Star Hotel;ulitsa Yadrintseva 1ZH, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid7806155/best_eastern_hotel_zvezda/;/hotel/russia/irkutsk/mid7806155/best_eastern_hotel_zvezda/;from ₽7,358 per night;8.7;Excellent;324 reviews
Viktoriya Hotel;Ulitsa Bogdana Khmelnitskogo, 1, Irkutsk, Russia, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8457230/victory_hotel_4/;/hotel/russia/irkutsk/mid8457230/victory_hotel_4/;from ₽5,239 per night;8.5;Excellent;456 reviews
Rooms;ulitsa Karla Marksa 32, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid9992652/rooms_apartments/;/hotel/russia/irkutsk/mid9992652/rooms_apartments/;from ₽3,114 per night;9.2;Fantastic;201 reviews
Yakovlev` Hotel;ulitsa Timiryazeva, 9, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8742012/yakovlev_hotel/;/hotel/russia/irkutsk/mid8742012/yakovlev_hotel/;from ₽3,846 per night;8.8;Excellent;66 reviews
Good Hotel Mini-Hotel;ulitsa Sibirskaya , 21/2, pomeschenie 1, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid10013559/miniotel_good_hotel/;/hotel/russia/irkutsk/mid10013559/miniotel_good_hotel/;from ₽2,200 per night;8.2;Excellent;41 reviews
Grand Bajkal Hotel;mkr. Krasnyj Klyuch, 91, Baikalsk;https://ostrovok.ru/hotel/russia/baikalsk/mid8481257/grand_baikal/;/hotel/russia/baikalsk/mid8481257/grand_baikal/;from ₽13,248 per night;8.5;Excellent;32 reviews
Vozdushnaya Gavan Hotel;ulitsa Shiryamova 6, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8059310/vozdushnaya_gavan/;/hotel/russia/irkutsk/mid8059310/vozdushnaya_gavan/;from ₽5,224 per night;8.3;Excellent;240 reviews
