id,name,address,address_en,stars,rating,review_count,image_count,latitude,longitude,category,has_verified_owner,phone_available
192395625370,Nuur hotel,"Иркутск, улица Карла Либкнехта, 85","Irkutsk, Karl Liebknecht street, 85",4,5,117,215,52.281672,104.306702,Гостиница,False,False
151995987734,Baikal soul,"Иркутская область, Ольхонский район, посёлок Хужир, Нагорная улица, 15А","Irkutsk Region, Olkhonskiy rayon, posyolok Khuzhir, Nagornaya ulitsa, 15А",,5,144,52,53.195058,107.336628,Иное жильё,False,False
217345628510,География,"Иркутск, улица 3 Июля, 17/1","Irkutsk, 3 July street, 17/1",3,4.9,281,241,52.274092,104.289005,Гостиница,False,False
183116086909,Шелковый путь,"Иркутск, улица Марата, 8","Irkutsk, Marat street, 8",4,5,58,209,52.28848393,104.2750572,Гостиница,False,False
1510425055,7 Дорог,"Иркутск, улица Ядринцева, 88","Irkutsk, ulitsa Yadrintseva, 88",4,5,561,568,52.274844,104.335343,Гостиница,False,False
1151546266,Ochagof,"Иркутск, Дальневосточная улица, 21","Irkutsk, Dalnevostochnaya ulitsa, 21",4,4.7,335,233,52.262874,104.297846,Гостиница,False,False
147128949358,Baikal Forest Hotel,"Иркутск, Советская улица, 58/1","Irkutsk, Sovetskaya Street, 58/1",4,4.9,949,460,52.276081,104.304742,Гостиница,False,False
1237312069,Русь,"Иркутск, улица Свердлова, 19","Irkutsk, Sverdlov street, 19",,4.7,664,160,52.284333,104.279395,Гостиница,False,False
1052015828,Ангара,"Иркутск, улица Сухэ-Батора, 7","Irkutsk, Sukhe-Batora Street, 7",3,4.5,2598,415,52.287432,104.282047,Гостиница,False,False
1144369953,Легенда Байкала,"Иркутский муниципальный округ, рабочий посёлок Листвянка, улица Исток Ангары, 11","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, ulitsa Istok Angary, 11",2,4.9,760,723,51.873044,104.828745,Гостиница,False,False
